Author,LexicalDiversity,MeanWordLen,MeanSentenceLen,StdevSentenceLen,MeanParagraphLen,DocumentLen,Commas,Semicolons,Quotes,Exclamations,Colons,Dashes,Mdashes,Ands,Buts,Howevers,Ifs,Thats,Mores,Musts,Mights,This,Verys
"AJ,43.4731,6.58402,34.7727,21.3412,765,4799,2.87425,0.359281,0,0,0.359281,0,0,3.83234,0,0,0.11976,0,0.598802,0,0.239521,0.11976,0"
"VE,55.2529,5.92254,17.6923,9.26021,230,1511,2.72374,0,0,0,0,0,0,1.55642,0,0,0.389105,0,0.77821,0,0.389105,0.389105,0"
"SDEG,55,5.78322,17.8462,9.23077,232,1497,3.07692,0,0,0,0,0,0,1.53846,0,0.384615,0.384615,0,0.769231,0,0.384615,0.384615,0"
"SDFI,64.6739,5.90756,40,20.7123,160,1020,7.6087,0,0,0,1.08696,0,0,3.26087,0,0,0.543478,0,0,0,0,0,0"
"AJ,43.4731,6.58402,34.7727,21.3412,765,4799,2.87425,0.359281,0,0,0.359281,0,0,3.83234,0,0,0.11976,0,0.598802,0,0.239521,0.11976,0"
"BMM,46.0938,5.74011,22.8,13.6392,342,2160,3.90625,0,0,0,1.30208,0.260417,0,2.08333,0.260417,0,0.260417,0,0.520833,0,0.260417,0,0"
"DJE,41.2979,6.66905,34.6667,13.6409,936,5700,4.32645,0,0,0,0.0983284,0.688299,0,3.34317,0.393314,0.294985,1.96657,0.0983284,0.589971,0,0.393314,0,0"
"MJ,42.5694,6.94617,27.1304,14.0242,1248,8175,6.11111,0.347222,0,0,0.486111,0.208333,0,2.70833,0.138889,0.0694444,1.04167,0,0.486111,0,0.277778,0,0.0694444"
"FRL,100,7,3,0,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"SDGV,48.6641,6.3451,29,22.6247,464,2939,3.24427,0.19084,0,0,1.9084,0.19084,0,2.48092,0,0,0.19084,0,0.19084,0,0,0,0"
"MJ,54.8889,6.67206,17,8.45084,408,2747,4,0,0,0,0,0,0,2.22222,0.222222,0.222222,0.222222,0.222222,1.77778,0,0,0,0"
"SDFI,58.7379,6.5124,26.1429,11.6794,183,1195,6.31068,0,0,0,0.970874,0,0,3.39806,0.485437,0,1.45631,0,0.970874,0,0,0,0"
"MJ,56.5553,6.11818,24.3571,20.8073,340,2105,5.65553,1.54242,0,0,0.514139,0.514139,0,2.57069,0,0,0.771208,0,0,0,0.257069,0,0.257069"
"FRL,64.5914,6.09036,22.7,32.5639,227,1429,7.00389,0.389105,0,0,0.389105,0.389105,0,3.89105,0,0,0,0,0,0,0,0,0.389105"
"GM,61.9048,5.55769,19.375,15.2392,155,926,2.97619,0,0,0,0,0,0,3.57143,0,0,0.595238,0.595238,0.595238,0,0,0.595238,0"
"SDGV,59.5,5.70588,19.5556,11.4999,176,1100,3.5,0,0,0,1,3,0,3.5,0,0,0.5,0,0,0,0,0,0"
"CB,61.7647,6.88095,22.625,11.8315,181,1299,5.88235,0,0,0.490196,0,0,0,3.43137,0,0,0.980392,0,0,0,0,0,0"
"FLG,11.4247,7.40131,29.8832,18.5675,5887,41117,7.25806,0,0,0.0597372,0.119474,0,0,3.43489,0.194146,0,0.686977,0.179211,0.224014,0.0298686,0.0597372,0.0746714,0.0448029"
"CB,14.4022,7.74151,39.5529,16.3401,3362,24902,4.40217,0.217391,0,0,0.13587,0,0,3.80435,0.163043,0,0.326087,0,0.13587,0,0.0815217,0.108696,0"
"SDLLR,60.5769,6.09524,30.3333,16.2036,182,1222,8.65385,0,0,0,0.961538,0,0,0.961538,0,0.480769,0,0,0.961538,0,0,0,0"
"TD,56.4885,5.63514,20,13.8564,240,1450,1.9084,0,0,0,0.381679,0,0,2.29008,0.381679,0,0.381679,0,1.9084,0,0,0,0"
"SDLLR,28.5386,6.64919,29.7308,22.8869,773,5035,6.90449,0.690449,0,0,0.460299,0,0,3.22209,0,0,0.115075,0.460299,0.345224,0,0,0,0.460299"
"SDLLR,74.4444,6.47761,27.3333,8.34,82,612,5.55556,0,0,0,0,0,0,3.33333,0,0,0,0,0,0,0,0,0"
