DiversidadeLexica,TamanhoMedioDasPalavras,TamanhoMedioSentencas,StdevSentencas,TamanhoMedioParagrafos,StdevTamParagrafos,FrequenciaDeParagrafos,FrequenciaPalavrasDuplicadas,MediaSilabasPorPalavra,Monossilabas,Ponto,Virgulas,Exclamacoes,DoisPontos,Citacoes,QuebrasDeLinha,Digitos,Adjetivos,Adverbios,Artigos,Substantivos,Preposicoes,Verbos,VerbosPtcp,Conjuncoes,Pronomes,PronomesPorPreposicao,TermosNaoTageados,PalavrasDeConteudo,PalavrasFuncionais,FrasesNominais,FrasesVerbais,GenMasc,GenFem,SemGenero,Singular,Plural,PrimeiraPessoa,TerceiraPessoa,Passado,Presente,Futuro,TotalEntidadesNomeadas,EntAbstracao,EntAcontecimento,EntCoisa,EntLocal,EntOrganizacao,EntObra,EntOutro,EntPessoa,EntTempo,EntValor,GuiraudR,HerdanC,HerdanV,MedidaK,DugastU,MaasA,HonoresH,PalavrasErroOrtografico,HapaxLegomenaLocal,PalavrasComunsTam2,PalavrasComunsTam3,PalavrasComunsTam4,StopWords,BRFleshIndex,OperadoresLogicos,PalavrasCapitalizadas,Subject,Global hapax,top 1-gram,top 3-gram,top 4-gram,top 5-gram,Author
52.4721,6.4225,21.76,15.9581,544.0,0.0,0.001594896331738437,0.0638,2.1866028708133967,0.09409888357256778,2.7113237639553427,5.582137161084528,1.2759170653907497,0.7974481658692185,0.0,0.0,0.019138755980861243,0.06379585326953748,0.025518341307814992,0.08293460925039872,0.19617224880382766,0.1116427432216906,0.022328548644338118,0.08771929824561403,0.05263157894736842,0.04625199362041468,0.4142857142857143,0.09090909090909093,0.4497607655502393,0.2472089314194577,0.0064,0.1196,0.2615629984051037,0.28708133971291866,0.007974481658692184,0.4625199362041467,0.16905901116427433,0.009569377990430622,0.0861244019138756,0.009569377990430622,0.055821371610845286,0.003189792663476874,0.0845,0.1320754716981132,0.03773584905660377,0.09433962264150944,0.07547169811320754,0.03773584905660377,0.018867924528301886,0.16981132075471694,0.07547169811320754,0.2452830188679245,0.11320754716981132,13.139,0.8999,329.0,2.6001,92.8088,0.1038,0.7933,0.0733652312599681,0.4163,0.006379585326953748,0.014354066985645932,0.02073365231259968,0.3493,433.7908452950559,0.0430622009569378,0.0,ASSUNTOS VARIADOS,0.011849710982658959,0.04133333333333333,0.0,0.0,0.0,FOIRA
50.639,6.6032,29.2632,19.1004,555.0,0.0,0.001597444089456869,0.0751,2.161341853035144,0.07188498402555911,2.236421725239617,3.6741214057507987,0.0,0.4792332268370607,0.0,0.0,0.06389776357827476,0.07348242811501597,0.014376996805111819,0.06230031948881789,0.2156549520766773,0.1182108626198083,0.014376996805111819,0.09105431309904154,0.07028753993610222,0.04313099041533546,0.3648648648648649,0.11182108626198084,0.4744408945686901,0.2507987220447284,0.0144,0.1038,0.3434504792332269,0.2044728434504792,0.006389776357827476,0.4329073482428115,0.1805111821086262,0.004792332268370607,0.06869009584664537,0.007987220447284345,0.039936102236421724,0.006389776357827476,0.0927,0.1206896551724138,0.05172413793103448,0.05172413793103448,0.06896551724137931,0.06896551724137931,0.017241379310344827,0.1724137931034483,0.017241379310344827,0.3275862068965517,0.10344827586206896,12.6699,0.8943,317.0,2.5837,87.9151,0.1067,0.7634,0.07507987220447285,0.3866,0.011182108626198084,0.022364217252396158,0.03194888178913738,0.3546,431.6504712460064,0.05910543130990415,0.0,ASSUNTOS VARIADOS,0.013214593507612756,0.04933333333333333,0.0,0.0,0.0,FOIRA
49.0415,6.5147,39.5714,41.4138,554.0,0.0,0.001597444089456869,0.0719,2.1565495207667733,0.0878594249201278,1.437699680511182,4.792332268370607,0.4792332268370607,0.3194888178913738,0.0,0.0,0.039936102236421724,0.06869009584664537,0.03035143769968052,0.08626198083067092,0.1869009584664537,0.09105431309904154,0.01597444089456869,0.09744408945686901,0.05271565495207668,0.06230031948881789,0.6842105263157894,0.07667731629392971,0.5,0.2300319488817892,0.0144,0.107,0.2891373801916933,0.2763578274760383,0.009584664536741214,0.5015974440894568,0.1501597444089457,0.019169329073482427,0.08146964856230032,0.007987220447284345,0.07188498402555911,0.0,0.0799,0.02,0.1,0.02,0.16,0.1,0.02,0.22,0.04,0.24,0.08,12.2702,0.8894,307.0,2.5693,83.96,0.1091,0.7524,0.08466453674121406,0.369,0.011182108626198084,0.02396166134185304,0.03194888178913738,0.3994,431.24666134185287,0.051118210862619806,0.0,ASSUNTOS VARIADOS,0.012223515715948778,0.050666666666666665,0.0,0.0,0.0,FOIRA
51.0519,5.7956,14.3415,11.4159,588.0,0.0,0.001402524544179523,0.0645,1.9228611500701265,0.10378681626928472,4.3478260869565215,6.171107994389902,0.8415147265077139,0.9817671809256662,0.0,0.0,0.02244039270687237,0.02945301542776998,0.05189340813464236,0.07573632538569425,0.16830294530154274,0.07713884992987377,0.008415147265077139,0.10659186535764376,0.030855539971949505,0.08415147265077139,1.0909090909090908,0.08695652173913042,0.4530154277699861,0.18373071528751755,0.006999999999999999,0.1403,0.2538569424964937,0.24123422159887803,0.004207573632538568,0.5133239831697055,0.08695652173913042,0.016830294530154274,0.10659186535764376,0.030855539971949505,0.056100981767180924,0.002805049088359046,0.101,0.1111111111111111,0.041666666666666664,0.013888888888888888,0.1527777777777778,0.09722222222222222,0.013888888888888888,0.06944444444444445,0.09722222222222222,0.2083333333333333,0.19444444444444445,13.6319,0.8977,364.0,2.6222,92.6096,0.1039,0.772,0.06591865357643759,0.3941,0.004207573632538568,0.005610098176718092,0.008415147265077139,0.3464,411.4578050490883,0.04488078541374474,0.0,ASSUNTOS VARIADOS,0.017221584385763492,0.04166666666666666,0.0,0.0,0.0,FOIRA
47.5795,5.9620000000000015,22.1786,20.2838,621.0,0.0,0.0013831258644536654,0.0664,1.9751037344398341,0.07883817427385892,2.7662517289073305,6.639004149377594,1.1065006915629323,0.6915629322268326,0.0,0.0,0.016597510373443983,0.04287690179806362,0.035961272475795295,0.08437067773167359,0.14661134163208853,0.08437067773167359,0.011065006915629323,0.09681881051175656,0.05394190871369295,0.0594744121715076,0.7049180327868851,0.11618257261410787,0.42738589211618255,0.22268326417704007,0.0138,0.1024,0.2600276625172891,0.2544951590594744,0.008298755186721992,0.5076071922544951,0.11203319502074688,0.013831258644536652,0.10511756569847856,0.024896265560165973,0.05809128630705394,0.0013831258644536654,0.1065,0.05194805194805195,0.11688311688311688,0.025974025974025976,0.18181818181818185,0.11688311688311688,0.06493506493506493,0.07792207792207792,0.03896103896103896,0.24675324675324675,0.07792207792207792,12.7935,0.8872,344.0,2.5946,84.1828,0.109,0.75,0.08298755186721991,0.3568,0.024896265560165973,0.027662517289073305,0.027662517289073305,0.379,415.8880636237898,0.044260027662517284,0.0,ASSUNTOS VARIADOS,0.01883656509695291,0.05,0.0,0.0,0.0,FOIRA
42.7284,5.5394,14.4146,9.8302,589.0,0.0,0.001287001287001287,0.0682,1.8005148005148006,0.10167310167310167,1.8018018018018016,8.751608751608751,4.2471042471042475,0.6435006435006435,0.0,0.0,0.032175032175032175,0.025740025740025745,0.023166023166023158,0.054054054054054064,0.13384813384813385,0.055341055341055344,0.0064350064350064354,0.10424710424710423,0.039897039897039896,0.08236808236808238,1.4883720930232558,0.13127413127413126,0.3410553410553411,0.1492921492921493,0.0064,0.1107,0.20334620334620326,0.2406692406692407,0.01415701415701416,0.4787644787644788,0.07593307593307594,0.025740025740025745,0.09395109395109397,0.007722007722007722,0.08494208494208494,0.001287001287001287,0.1017,0.08860759493670886,0.06329113924050632,0.0379746835443038,0.27848101265822783,0.13924050632911392,0.012658227848101266,0.0759493670886076,0.012658227848101266,0.2278481012658228,0.06329113924050632,11.9104,0.8722,332.0,2.5664,75.1542,0.1154,0.7440000000000001,0.09137709137709138,0.3179,0.007722007722007722,0.015444015444015444,0.02445302445302445,0.2793,401.1128314028313,0.0296010296010296,0.0,ASSUNTOS VARIADOS,0.029350726356359325,0.034666666666666665,0.0,0.0,0.0,FOIRA
51.2085,6.2285,25.1818,22.4533,554.0,0.0,0.0015105740181268882,0.0619,2.105740181268882,0.1027190332326284,2.7190332326283992,5.287009063444108,0.4531722054380665,1.8126888217522656,0.0,0.0,0.05438066465256797,0.04229607250755287,0.0377643504531722,0.07099697885196375,0.19788519637462235,0.09063444108761327,0.013595166163141994,0.0755287009063444,0.05740181268882175,0.0513595166163142,0.5666666666666668,0.11178247734138973,0.4290030211480361,0.2190332326283988,0.006,0.1254,0.30060422960725075,0.20996978851963746,0.006042296072507553,0.4833836858006042,0.11027190332326284,0.007552870090634442,0.08308157099697885,0.016616314199395767,0.055891238670694864,0.006042296072507553,0.0891,0.1694915254237288,0.13559322033898305,0.06779661016949153,0.06779661016949153,0.06779661016949153,0.03389830508474576,0.13559322033898305,0.0,0.2033898305084746,0.11864406779661014,13.1756,0.897,339.0,2.6037,90.9431,0.1049,0.7788,0.0891238670694864,0.3988,0.006042296072507553,0.012084592145015106,0.019637462235649543,0.3414,426.93462235649537,0.0513595166163142,0.0,ASSUNTOS VARIADOS,0.020785219399538105,0.043,0.0,0.0,0.0,FOIRA
48.5342,6.8074,30.3333,26.1661,546.0,0.0,0.0016286644951140064,0.0733,2.2328990228013037,0.0732899022801303,2.6058631921824102,5.537459283387622,0.0,0.16286644951140064,0.0,0.0,0.030944625407166124,0.07654723127035831,0.024429967426710098,0.08306188925081433,0.1938110749185668,0.1009771986970684,0.01465798045602606,0.0993485342019544,0.06677524429967427,0.0732899022801303,0.7258064516129032,0.08957654723127036,0.4543973941368078,0.250814332247557,0.0098,0.1319,0.2361563517915309,0.30130293159609123,0.01465798045602606,0.5097719869706839,0.14006514657980454,0.009771986970684038,0.0993485342019544,0.0065146579804560255,0.07980456026058631,0.0016286644951140064,0.0831,0.19607843137254904,0.09803921568627452,0.0196078431372549,0.09803921568627452,0.09803921568627452,0.0392156862745098,0.0784313725490196,0.0392156862745098,0.2352941176470588,0.09803921568627452,12.0263,0.8874,298.0,2.5594,82.2555,0.1103,0.7483,0.08469055374592832,0.3632,0.011400651465798044,0.021172638436482084,0.02931596091205212,0.3909,437.6985830618893,0.05537459283387622,0.0,ASSUNTOS VARIADOS,0.012654587287891863,0.049666666666666665,0.0,0.0,0.0,FOIRA
46.9136,6.5927,28.6842,20.9537,545.0,0.0,0.0015432098765432098,0.0648,2.1728395061728394,0.0787037037037037,2.1604938271604937,5.5555555555555545,0.15432098765432098,0.9259259259259259,0.0,0.0,0.06481481481481481,0.060185185185185175,0.016975308641975308,0.07407407407407407,0.20679012345679013,0.0941358024691358,0.007716049382716048,0.061728395061728385,0.07407407407407407,0.060185185185185175,0.6393442622950819,0.12808641975308646,0.41358024691358025,0.24228395061728394,0.0046,0.0694,0.2669753086419753,0.2901234567901235,0.0015432098765432098,0.4722222222222222,0.15123456790123455,0.012345679012345678,0.060185185185185175,0.010802469135802469,0.041666666666666664,0.0,0.0802,0.019230769230769232,0.15384615384615385,0.019230769230769232,0.1346153846153846,0.07692307692307693,0.019230769230769232,0.1153846153846154,0.019230769230769232,0.21153846153846154,0.2307692307692308,11.9422,0.8831,304.0,2.5588,79.8892,0.1119,0.7697,0.10339506172839506,0.3611,0.007716049382716048,0.018518518518518517,0.029320987654320983,0.3503,432.6133641975308,0.061728395061728385,0.0,ASSUNTOS VARIADOS,0.02150229357798165,0.04566666666666667,0.0,0.0,0.0,FOIRA
46.8874,5.3812,35.0,37.5426,630.0,0.0,0.001324503311258278,0.0808,1.7947019867549667,0.10596026490066224,1.5894039735099337,4.5033112582781465,0.13245033112582782,1.3245033112582782,0.0,0.0,0.010596026490066223,0.018543046357615896,0.026490066225165563,0.04900662251655629,0.16821192052980133,0.08741721854304636,0.006622516556291391,0.1205298013245033,0.07019867549668875,0.08741721854304636,1.0,0.1403973509933775,0.4,0.20662251655629132,0.0,0.1272,0.2940397350993377,0.1947019867549669,0.015894039735099338,0.5390728476821192,0.06490066225165562,0.031788079470198675,0.08609271523178808,0.009271523178807948,0.07549668874172186,0.003973509933774834,0.0914,0.08695652173913042,0.13043478260869565,0.028985507246376805,0.15942028985507245,0.08695652173913042,0.07246376811594203,0.043478260869565216,0.043478260869565216,0.15942028985507245,0.18840579710144928,12.8834,0.8857,354.0,2.5998,83.6439,0.1093,0.7203,0.10066225165562914,0.3377,0.007947019867549669,0.022516556291390728,0.026490066225165563,0.3576,400.6318344370861,0.05033112582781457,0.0,ASSUNTOS VARIADOS,0.03558212354113294,0.04233333333333333,0.0,0.0,0.0,FOIRA
